0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997304916381836 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009961128234863281 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009970664978027344 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997781753540039 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009982585906982422 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009968280792236328 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009970664978027344 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009963512420654297 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009982585906982422 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009982585906982422 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997304916381836 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997304916381836 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009984970092773438 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009970664978027344 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997304916381836 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009984970092773438 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009963512420654297 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009970664978027344 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009980201721191406 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009975433349609375 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.0009982585906982422 132 [0, 1, 2, 3, 4, 5, 0]
0.0 132 [0, 1, 2, 3, 4, 5, 0]
0.000997304916381836 132 [0, 1, 2, 3, 4, 5, 0]
